image_a,image_b,label,transformation,pair_type,clip_score,cnn_score,final_score,prediction,correct
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\met_0051_451260.jpg,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\blur\met_0051_451260_blur.jpg,plagiarized,blur,positive,0.930553,0.849733,0.857815,plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\met_0051_451260.jpg,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\blur\met_0052_451268_blur.jpg,not_plagiarized,blur,negative,0.767708,0.532974,0.556447,not_plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\met_0052_451268.jpg,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\blur\met_0052_451268_blur.jpg,plagiarized,blur,positive,0.900315,0.853241,0.857949,plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\met_0052_451268.jpg,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\blur\met_0053_451725_blur.jpg,not_plagiarized,blur,negative,0.807134,0.608912,0.628734,not_plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\met_0053_451725.jpg,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\blur\met_0053_451725_blur.jpg,plagiarized,blur,positive,0.927450,0.861459,0.868058,plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\met_0053_451725.jpg,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\blur\met_0054_452668_blur.jpg,not_plagiarized,blur,negative,0.783968,0.490050,0.519441,not_plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\met_0054_452668.jpg,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\blur\met_0054_452668_blur.jpg,plagiarized,blur,positive,0.918111,0.794917,0.807236,not_plagiarized,False
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\met_0054_452668.jpg,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\blur\met_0055_452948_blur.jpg,not_plagiarized,blur,negative,0.666598,0.222128,0.266575,not_plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\met_0055_452948.jpg,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\blur\met_0055_452948_blur.jpg,plagiarized,blur,positive,0.915269,0.894101,0.896218,plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\met_0055_452948.jpg,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\blur\met_0056_453183_blur.jpg,not_plagiarized,blur,negative,0.616982,0.142686,0.190115,not_plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\met_0056_453183.jpg,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\blur\met_0056_453183_blur.jpg,plagiarized,blur,positive,0.906007,0.866392,0.870353,plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\met_0056_453183.jpg,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\blur\met_0057_453250_blur.jpg,not_plagiarized,blur,negative,0.575803,0.466021,0.476999,not_plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\met_0057_453250.jpg,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\blur\met_0057_453250_blur.jpg,plagiarized,blur,positive,0.892761,0.865941,0.868623,plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\met_0057_453250.jpg,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\blur\met_0058_453336_blur.jpg,not_plagiarized,blur,negative,0.714842,0.443934,0.471025,not_plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\met_0058_453336.jpg,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\blur\met_0058_453336_blur.jpg,plagiarized,blur,positive,0.930889,0.855003,0.862592,plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\met_0058_453336.jpg,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\blur\met_0059_453351_blur.jpg,not_plagiarized,blur,negative,0.761532,0.564056,0.583804,not_plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\met_0059_453351.jpg,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\blur\met_0059_453351_blur.jpg,plagiarized,blur,positive,0.904795,0.854897,0.859887,plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\met_0059_453351.jpg,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\blur\met_0060_454624_blur.jpg,not_plagiarized,blur,negative,0.649492,0.414876,0.438338,not_plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\met_0060_454624.jpg,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\blur\met_0060_454624_blur.jpg,plagiarized,blur,positive,0.900666,0.906399,0.905826,plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\met_0060_454624.jpg,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\blur\met_0061_456949_blur.jpg,not_plagiarized,blur,negative,0.639309,0.242621,0.282290,not_plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\met_0061_456949.jpg,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\blur\met_0061_456949_blur.jpg,plagiarized,blur,positive,0.891116,0.815844,0.823371,plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\met_0061_456949.jpg,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\blur\met_0062_466105_blur.jpg,not_plagiarized,blur,negative,0.614574,0.210325,0.250750,not_plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\met_0062_466105.jpg,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\blur\met_0062_466105_blur.jpg,plagiarized,blur,positive,0.906981,0.835876,0.842987,plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\met_0062_466105.jpg,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\blur\met_0063_472310_blur.jpg,not_plagiarized,blur,negative,0.700262,0.204191,0.253798,not_plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\met_0063_472310.jpg,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\blur\met_0063_472310_blur.jpg,plagiarized,blur,positive,0.938209,0.829663,0.840518,plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\met_0063_472310.jpg,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\blur\met_0064_544502_blur.jpg,not_plagiarized,blur,negative,0.755294,0.174287,0.232388,not_plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\met_0064_544502.jpg,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\blur\met_0064_544502_blur.jpg,plagiarized,blur,positive,0.881511,0.714418,0.731127,not_plagiarized,False
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\met_0064_544502.jpg,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\blur\met_0065_547758_blur.jpg,not_plagiarized,blur,negative,0.658452,0.122082,0.175719,not_plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\met_0065_547758.jpg,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\blur\met_0065_547758_blur.jpg,plagiarized,blur,positive,0.955873,0.783316,0.800572,not_plagiarized,False
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\met_0065_547758.jpg,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\blur\met_0066_556954_blur.jpg,not_plagiarized,blur,negative,0.686655,0.241123,0.285676,not_plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\met_0066_556954.jpg,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\blur\met_0066_556954_blur.jpg,plagiarized,blur,positive,0.941308,0.841355,0.851351,plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\met_0066_556954.jpg,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\blur\met_0067_691053_blur.jpg,not_plagiarized,blur,negative,0.698354,0.215220,0.263534,not_plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\met_0067_691053.jpg,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\blur\met_0067_691053_blur.jpg,plagiarized,blur,positive,0.928745,0.673692,0.699198,not_plagiarized,False
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\met_0067_691053.jpg,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\blur\met_0068_910555_blur.jpg,not_plagiarized,blur,negative,0.703483,0.402014,0.432161,not_plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\met_0068_910555.jpg,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\blur\met_0068_910555_blur.jpg,plagiarized,blur,positive,0.917875,0.739179,0.757048,not_plagiarized,False
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\met_0068_910555.jpg,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\blur\cma_0069_94979_blur.jpg,not_plagiarized,blur,negative,0.516069,0.238947,0.266660,not_plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\cma_0069_94979.jpg,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\brightness\cma_0069_94979_brightness.jpg,plagiarized,brightness,positive,0.985486,0.983154,0.983387,plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\cma_0069_94979.jpg,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\brightness\cma_0070_102578_brightness.jpg,not_plagiarized,brightness,negative,0.676791,0.436965,0.460948,not_plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\cma_0070_102578.jpg,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\brightness\cma_0070_102578_brightness.jpg,plagiarized,brightness,positive,0.976544,0.974521,0.974723,plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\cma_0070_102578.jpg,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\brightness\cma_0071_92937_brightness.jpg,not_plagiarized,brightness,negative,0.590422,0.351383,0.375287,not_plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\cma_0071_92937.jpg,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\brightness\cma_0071_92937_brightness.jpg,plagiarized,brightness,positive,0.988754,0.974869,0.976258,plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\cma_0071_92937.jpg,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\brightness\cma_0072_151904_brightness.jpg,not_plagiarized,brightness,negative,0.578509,0.237859,0.271924,not_plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\cma_0072_151904.jpg,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\brightness\cma_0072_151904_brightness.jpg,plagiarized,brightness,positive,0.963056,0.979280,0.977657,plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\cma_0072_151904.jpg,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\brightness\cma_0073_110180_brightness.jpg,not_plagiarized,brightness,negative,0.653716,0.229999,0.272371,not_plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\cma_0073_110180.jpg,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\brightness\cma_0073_110180_brightness.jpg,plagiarized,brightness,positive,0.989996,0.985719,0.986147,plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\cma_0073_110180.jpg,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\brightness\cma_0074_137259_brightness.jpg,not_plagiarized,brightness,negative,0.633326,0.358932,0.386371,not_plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\cma_0074_137259.jpg,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\brightness\cma_0074_137259_brightness.jpg,plagiarized,brightness,positive,0.993445,0.972888,0.974943,plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\cma_0074_137259.jpg,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\brightness\cma_0075_141639_brightness.jpg,not_plagiarized,brightness,negative,0.489937,0.239470,0.264517,not_plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\cma_0075_141639.jpg,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\brightness\cma_0075_141639_brightness.jpg,plagiarized,brightness,positive,0.995494,0.977380,0.979192,plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\cma_0075_141639.jpg,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\brightness\cma_0076_149410_brightness.jpg,not_plagiarized,brightness,negative,0.575149,0.179636,0.219187,not_plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\cma_0076_149410.jpg,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\brightness\cma_0076_149410_brightness.jpg,plagiarized,brightness,positive,0.994531,0.984728,0.985709,plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\cma_0076_149410.jpg,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\brightness\cma_0077_149112_brightness.jpg,not_plagiarized,brightness,negative,0.595862,0.111543,0.159975,not_plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\cma_0077_149112.jpg,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\brightness\cma_0077_149112_brightness.jpg,plagiarized,brightness,positive,0.922214,0.965100,0.960811,plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\cma_0077_149112.jpg,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\brightness\cma_0078_125249_brightness.jpg,not_plagiarized,brightness,negative,0.697939,0.183285,0.234750,not_plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\cma_0078_125249.jpg,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\brightness\cma_0078_125249_brightness.jpg,plagiarized,brightness,positive,0.982149,0.983757,0.983596,plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\cma_0078_125249.jpg,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\brightness\cma_0079_135299_brightness.jpg,not_plagiarized,brightness,negative,0.727580,0.448603,0.476500,not_plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\cma_0079_135299.jpg,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\brightness\cma_0079_135299_brightness.jpg,plagiarized,brightness,positive,0.988107,0.977865,0.978889,plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\cma_0079_135299.jpg,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\brightness\cma_0080_93014_brightness.jpg,not_plagiarized,brightness,negative,0.521454,0.177192,0.211619,not_plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\cma_0080_93014.jpg,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\brightness\cma_0080_93014_brightness.jpg,plagiarized,brightness,positive,0.978973,0.960152,0.962034,plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\cma_0080_93014.jpg,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\brightness\cma_0081_135382_brightness.jpg,not_plagiarized,brightness,negative,0.594374,0.145689,0.190557,not_plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\cma_0081_135382.jpg,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\brightness\cma_0081_135382_brightness.jpg,plagiarized,brightness,positive,0.983698,0.981092,0.981352,plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\cma_0081_135382.jpg,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\brightness\cma_0082_128391_brightness.jpg,not_plagiarized,brightness,negative,0.688525,0.315679,0.352963,not_plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\cma_0082_128391.jpg,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\brightness\cma_0082_128391_brightness.jpg,plagiarized,brightness,positive,0.994053,0.993681,0.993718,plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\cma_0082_128391.jpg,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\brightness\cma_0083_140161_brightness.jpg,not_plagiarized,brightness,negative,0.645900,0.345544,0.375580,not_plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\cma_0083_140161.jpg,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\brightness\cma_0083_140161_brightness.jpg,plagiarized,brightness,positive,0.988504,0.978014,0.979063,plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\cma_0083_140161.jpg,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\brightness\cma_0084_125104_brightness.jpg,not_plagiarized,brightness,negative,0.565793,0.135761,0.178765,not_plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\cma_0084_125104.jpg,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\brightness\cma_0084_125104_brightness.jpg,plagiarized,brightness,positive,0.992540,0.964847,0.967616,plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\cma_0084_125104.jpg,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\brightness\cma_0085_138464_brightness.jpg,not_plagiarized,brightness,negative,0.566725,0.139141,0.181899,not_plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\cma_0085_138464.jpg,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\brightness\cma_0085_138464_brightness.jpg,plagiarized,brightness,positive,0.986131,0.980016,0.980628,plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\cma_0085_138464.jpg,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\brightness\cma_0086_127571_brightness.jpg,not_plagiarized,brightness,negative,0.632626,0.434220,0.454060,not_plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\cma_0086_127571.jpg,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\brightness\cma_0086_127571_brightness.jpg,plagiarized,brightness,positive,0.984755,0.982857,0.983046,plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\cma_0086_127571.jpg,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\brightness\cma_0087_109245_brightness.jpg,not_plagiarized,brightness,negative,0.670269,0.442341,0.465134,not_plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\cma_0087_109245.jpg,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\brightness\cma_0087_109245_brightness.jpg,plagiarized,brightness,positive,0.985446,0.981993,0.982339,plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\cma_0087_109245.jpg,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\brightness\cma_0088_122349_brightness.jpg,not_plagiarized,brightness,negative,0.812655,0.482116,0.515170,not_plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\cma_0088_122349.jpg,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\brightness\cma_0088_122349_brightness.jpg,plagiarized,brightness,positive,0.989466,0.985345,0.985757,plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\cma_0088_122349.jpg,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\brightness\cma_0089_160885_brightness.jpg,not_plagiarized,brightness,negative,0.637714,0.417010,0.439080,not_plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\cma_0089_160885.jpg,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\brightness\cma_0089_160885_brightness.jpg,plagiarized,brightness,positive,0.990709,0.978653,0.979858,plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\cma_0089_160885.jpg,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\brightness\cma_0090_140408_brightness.jpg,not_plagiarized,brightness,negative,0.478161,0.167126,0.198229,not_plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\cma_0090_140408.jpg,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\brightness\cma_0090_140408_brightness.jpg,plagiarized,brightness,positive,0.931599,0.941509,0.940518,plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\cma_0090_140408.jpg,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\brightness\cma_0091_117032_brightness.jpg,not_plagiarized,brightness,negative,0.696876,0.369762,0.402473,not_plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\cma_0091_117032.jpg,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\brightness\cma_0091_117032_brightness.jpg,plagiarized,brightness,positive,0.992980,0.984758,0.985580,plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\cma_0091_117032.jpg,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\brightness\cma_0092_135428_brightness.jpg,not_plagiarized,brightness,negative,0.518772,0.340491,0.358319,not_plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\cma_0092_135428.jpg,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\brightness\cma_0092_135428_brightness.jpg,plagiarized,brightness,positive,0.986071,0.974922,0.976037,plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\cma_0092_135428.jpg,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\brightness\cma_0093_131819_brightness.jpg,not_plagiarized,brightness,negative,0.511785,0.198003,0.229381,not_plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\cma_0093_131819.jpg,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\brightness\cma_0093_131819_brightness.jpg,plagiarized,brightness,positive,0.990287,0.987816,0.988063,plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\cma_0093_131819.jpg,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\brightness\cma_0094_150389_brightness.jpg,not_plagiarized,brightness,negative,0.691672,0.431211,0.457257,not_plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\cma_0094_150389.jpg,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\brightness\cma_0094_150389_brightness.jpg,plagiarized,brightness,positive,0.994642,0.988685,0.989280,plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\cma_0094_150389.jpg,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\brightness\cma_0095_148758_brightness.jpg,not_plagiarized,brightness,negative,0.703184,0.506628,0.526284,not_plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\cma_0095_148758.jpg,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\brightness\cma_0095_148758_brightness.jpg,plagiarized,brightness,positive,0.993721,0.986460,0.987186,plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\cma_0095_148758.jpg,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\brightness\cma_0096_138359_brightness.jpg,not_plagiarized,brightness,negative,0.624554,0.275665,0.310554,not_plagiarized,True
E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\cma_0096_138359.jpg,E:\Hafizh Code\Capstone2\digital-copyright-system\evaluation_dataset\artworks_met\brightness\cma_0096_138359_brightness.jpg,plagiarized,brightness,positive,0.976906,0.975602,0.975733,plagiarized,True
